,title,description,type,rating
221,A Scandall,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",Movie,TV-MA
222,A Second Chance,"Following their storybook wedding, Popoy and Basha find married life – and starting a business together – more challenging than they ever imagined.",Movie,TV-MA
223,A Secret Love,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",Movie,TV-14
224,A Separation,"Amid an impasse in his marriage, a father in Tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad.",Movie,PG-13
225,A Series of Unfortunate Events,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",TV Show,TV-PG
226,A Serious Man,"With every aspect of his life unraveling, a Jewish physics professor seeks out three rabbis for spiritual guidance.",Movie,R
228,A Silent Voice,A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.,Movie,TV-14
229,A Single Man,This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,Movie,R
230,A Sort of Family,An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,Movie,TV-14
231,A Sort of Homecoming,Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be – and what might have been – come flooding back.,Movie,TV-PG
232,A Stoning in Fulham County,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",Movie,TV-14
233,A StoryBots Christmas,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus – only to find he's missing.",Movie,TV-Y
234,A Sun,A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.,Movie,TV-MA
235,A Taiwanese Tale of Two Cities,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",TV Show,TV-MA
236,A Tale of Love and Darkness,"Based on the memoirs of author Amos Oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent Israel.",Movie,PG-13
237,A Tale of Two Kitchens,"Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture.",Movie,TV-PG
238,A Thin Line Between Love & Hate,"When a philandering club promoter sets out to woo a rich, glamorous woman, he has no clue just how much mayhem he's about to unleash on his life.",Movie,R
239,A Thousand Goodnights,"To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",TV Show,TV-14
240,A Thousand Words,"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count.",Movie,PG-13
241,A Touch of Green,"Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",TV Show,TV-MA
242,A Trash Truck Christmas,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",Movie,TV-Y
243,A Trip to Jamaica,A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.,Movie,TV-MA
245,A Twelve Year Night,Future Uruguayan president José Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.,Movie,TV-MA
247,A Very Murray Christmas,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",Movie,TV-14
248,A Very Secret Service,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",TV Show,TV-MA
251,A Wednesday,"After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants.",Movie,TV-MA
252,A Week in Watts,"Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood.",Movie,TV-14
253,A Whisker Away,"A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",Movie,TV-PG
256,A Year In Space,Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,TV Show,TV-PG
257,A Yellow Bird,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.",Movie,TV-MA
258,A Young Doctor's Notebook and Other Stories,"Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",TV Show,TV-MA
259,A.D. Kingdom and Empire,"In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives.",TV Show,TV-14
260,A.I.C.O.,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,TV Show,TV-14
261,A.M.I.,"After losing her mother, a teenage girl bonds with her phone’s artificial intelligence app, a relationship that soon takes a dark and violent turn.",Movie,TV-MA
263,Aşk Tesadüfleri Sever,"A series of coincidences brings two star-crossed lovers together, but fate pulls them apart until they encounter each other again in Istanbul.",Movie,TV-MA
264,Aadu 2,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition.",Movie,TV-MA
265,Aagey Se Right,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",Movie,TV-14
266,Aajcha Divas Majha,A conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy.,Movie,TV-PG
267,Aakhri Adaalat,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,Movie,TV-14
268,Aalorukkam,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",Movie,TV-PG
269,Aamir,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",Movie,TV-14
270,Aapla Manus,"When a man falls from his balcony, an investigator questions the victim’s family, determined to uncover a darker truth behind the alleged accident.",Movie,TV-14
271,Aarakshan,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,Movie,TV-14
272,Aashayein,"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fiancée, snubs doctors and checks into a nursing home to die.",Movie,TV-14
273,Aashik Awara,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",Movie,TV-14
274,Aata Pita,A municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character.,Movie,TV-14
275,Aaviri,"After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",Movie,TV-14
276,Abby Hatcher,"A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.",TV Show,TV-Y
277,Abby Sen,"After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve.",Movie,TV-PG
278,ABCD 2,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.",Movie,TV-14
279,ABCD: Any Body Can Dance,"Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest.",Movie,TV-14
280,Abdo Mota,"Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime.",Movie,TV-MA
281,Abducted in Plain Sight,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice.",Movie,TV-14
